Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Towards a Modeling Language for Cyber-Physical Systems,Theories of Programming and Formal Methods,,,,10.1007/978-3-642-39698-4_24,Longfei ZhuYongxin ZhaoHuibiao ZhuQiwen Xu,2013,https://link.springer.com/chapter/10.1007/978-3-642-39698-4_24,Chapter
Operational semantics of a domain specific language for real time musician–computer interaction,Discrete Event Dynamic Systems,,,,10.1007/s10626-013-0166-2,José EchevesteArshia ContJean-Louis GiavittoFlorent Jacquemard,2013,https://link.springer.com/article/10.1007/s10626-013-0166-2,Article
"Behavioural Verification in Embedded Software, from Model to Source Code",Model-Driven Engineering Languages and Systems,,,,10.1007/978-3-642-41533-3_20,Anthony Fernandes PiresThomas PolacsekVirginie WielsStéphane Duprat,2013,https://link.springer.com/chapter/10.1007/978-3-642-41533-3_20,Conference paper
"Representation of synchronous, asynchronous, and polychronous components by clocked guarded actions",Design Automation for Embedded Systems,,,,10.1007/s10617-012-9087-9,Jens BrandtMike GemündeKlaus SchneiderSandeep K. ShuklaJean-Pierre Talpin,2012,https://link.springer.com/article/10.1007/s10617-012-9087-9,Article
System Design: Programming,Bad to the Bone,,,,10.1007/978-3-031-79858-0_2,Steven BarrettJason Kridner,2013,https://link.springer.com/chapter/10.1007/978-3-031-79858-0_2,Chapter
An Agent-Based Cognitive Robot Architecture,Programming Multi-Agent Systems,,,,10.1007/978-3-642-38700-5_4,Changyun WeiKoen V. Hindriks,2013,https://link.springer.com/chapter/10.1007/978-3-642-38700-5_4,Conference paper
System level modeling methodology of NoC design from UML-MARTE to VHDL,Design Automation for Embedded Systems,,,,10.1007/s10617-012-9101-2,Majdi ElhajiPierre BouletAbdelkrim ZitouniSamy MeftaliJean-Luc DekeyserRached Tourki,2012,https://link.springer.com/article/10.1007/s10617-012-9101-2,Article
"Progressive and explicit refinement of scheduling for multidimensional data-flow applications using <span>uml marte</span>
            ",Design Automation for Embedded Systems,,,,10.1007/s10617-012-9093-y,Calin GlitiaJulien DeAntoniFrédéric MalletJean-Vivien MilloPierre BouletAbdoulaye Gamatié,2012,https://link.springer.com/article/10.1007/s10617-012-9093-y,Article
Methods and Tools for Mapping Process Networks onto Multi-Processor Systems-On-Chip,Handbook of Signal Processing Systems,,,,10.1007/978-1-4614-6859-2_27,Iuliana BacivarovWolfgang HaidKai HuangLothar Thiele,2013,https://link.springer.com/chapter/10.1007/978-1-4614-6859-2_27,Chapter
Performance debugging of Esterel specifications,Real-Time Systems,,,,10.1007/s11241-012-9155-z,Lei JuBach Khoa HuynhAbhik RoychoudhurySamarjit Chakraborty,2012,https://link.springer.com/article/10.1007/s11241-012-9155-z,Article
Programming Robots with Events,"Embedded Systems: Design, Analysis and Verification",,,,10.1007/978-3-642-38853-8_2,Truong-Giang LeDmitriy FedosovOlivier HermantMatthieu MancenyRenaud PawlakRenaud Rioboo,2013,https://link.springer.com/chapter/10.1007/978-3-642-38853-8_2,Conference paper
Numerical invariants through convex relaxation and max-strategy iteration,Formal Methods in System Design,,,,10.1007/s10703-013-0190-8,Thomas Martin GawlitzaHelmut Seidl,2013,https://link.springer.com/article/10.1007/s10703-013-0190-8,Article
A Clock-Based Framework for Construction of Hybrid Systems,Theoretical Aspects of Computing – ICTAC 2013,,,,10.1007/978-3-642-39718-9_2,He Jifeng,2013,https://link.springer.com/chapter/10.1007/978-3-642-39718-9_2,Conference paper
Energy-optimal Batching periods for asynchronous multistage data processing on sensor nodes: foundations and an mPlatform case study,Real-Time Systems,,,,10.1007/s11241-011-9138-5,Dong WangTarek AbdelzaherBodhi PriyanthaJie LiuFeng Zhao,2011,https://link.springer.com/article/10.1007/s11241-011-9138-5,Article
An Industrial System Engineering Process Integrating Model Driven Architecture and Model Based Design,Model Driven Engineering Languages and Systems,,,,10.1007/978-3-642-33666-9_51,Andrea SindicoMarco Di NataleAlberto Sangiovanni-Vincentelli,2012,https://link.springer.com/chapter/10.1007/978-3-642-33666-9_51,Conference paper
Circus Time with Reactive Designs,Unifying Theories of Programming,,,,10.1007/978-3-642-35705-3_3,Kun WeiJim WoodcockAna Cavalcanti,2013,https://link.springer.com/chapter/10.1007/978-3-642-35705-3_3,Conference paper
Determining Actual Response Time in P-FRP,Practical Aspects of Declarative Languages,,,,10.1007/978-3-642-18378-2_20,Chaitanya BelwalAlbert M. K. Cheng,2011,https://link.springer.com/chapter/10.1007/978-3-642-18378-2_20,Conference paper
Teaching ‘Concepts of Programming Languages’ with Ada,Reliable Software Technologies – Ada-Europe 2012,,,,10.1007/978-3-642-30598-6_5,Theodor Tempelmeier,2012,https://link.springer.com/chapter/10.1007/978-3-642-30598-6_5,Conference paper
Semantic Adaptation Using CCSL Clock Constraints,Models in Software Engineering,,,,10.1007/978-3-642-29645-1_12,Frédéric BoulangerAyman DoguiCécile HardebolleChristophe JacquetDominique MarcadetIuliana Prodan,2012,https://link.springer.com/chapter/10.1007/978-3-642-29645-1_12,Conference paper
Type-specialized staged programming with process separation,Higher-Order and Symbolic Computation,,,,10.1007/s10990-012-9089-0,Yu David LiuChristian SkalkaScott F. Smith,2011,https://link.springer.com/article/10.1007/s10990-012-9089-0,Article
Turing und die Verifikation,Informatik-Spektrum,,,,10.1007/s00287-012-0627-2,Ernst-Rüdiger OlderogReinhard Wilhelm,2012,https://link.springer.com/article/10.1007/s00287-012-0627-2,Article
Towards a Signal Calculus for Event-Based Synchronous Languages,Formal Methods and Software Engineering,,,,10.1007/978-3-642-24559-6_1,Yongxin ZhaoHe Jifeng,2011,https://link.springer.com/chapter/10.1007/978-3-642-24559-6_1,Conference paper
Certifying and Reasoning on Cost Annotations in C Programs,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-642-32469-7_3,Nicolas AyacheRoberto M. AmadioYann Régis-Gianas,2012,https://link.springer.com/chapter/10.1007/978-3-642-32469-7_3,Conference paper
Rigorous System Design: The BIP Approach,Mathematical and Engineering Methods in Computer Science,,,,10.1007/978-3-642-25929-6_1,Ananda BasuSaddek BensalemMarius BozgaParaskevas BourgosJoseph Sifakis,2012,https://link.springer.com/chapter/10.1007/978-3-642-25929-6_1,Conference paper
TimeSquare: Treat Your Models with Logical Time,"Objects, Models, Components, Patterns",,,,10.1007/978-3-642-30561-0_4,Julien DeAntoniFrédéric Mallet,2012,https://link.springer.com/chapter/10.1007/978-3-642-30561-0_4,Conference paper
Rigorous Component-Based System Design,Rewriting Logic and Its Applications,,,,10.1007/978-3-642-34005-5_1,Ananda BasuSaddek BensalemMarius BozgaJoseph Sifakis,2012,https://link.springer.com/chapter/10.1007/978-3-642-34005-5_1,Conference paper
Component-based analysis of embedded control applications,Innovations in Systems and Software Engineering,,,,10.1007/s11334-011-0156-1,Christo AngelovWei GuanNicolae MarianFeng ZhouKrzysztof SierszeckiSøren Top,2011,https://link.springer.com/article/10.1007/s11334-011-0156-1,Article
CADP 2011: a toolbox for the construction and analysis of distributed processes,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-012-0244-z,Hubert GaravelFrédéric LangRadu MateescuWendelin Serwe,2012,https://link.springer.com/article/10.1007/s10009-012-0244-z,Article
A Synchronous Language with Partial Delay Specification for Real-Time Systems Programming,Programming Languages and Systems,,,,10.1007/978-3-642-35182-2_16,Rémy WyssFrédéric BoniolJulien ForgetClaire Pagetti,2012,https://link.springer.com/chapter/10.1007/978-3-642-35182-2_16,Conference paper
The Logical Execution Time Paradigm,Advances in Real-Time Systems,,,,10.1007/978-3-642-24349-3_5,Christoph M. KirschAna Sokolova,2012,https://link.springer.com/chapter/10.1007/978-3-642-24349-3_5,Chapter
Static Sessional Dataflow,ECOOP 2012 – Object-Oriented Programming,,,,10.1007/978-3-642-31057-7_22,Dominic DugganJianhua Yao,2012,https://link.springer.com/chapter/10.1007/978-3-642-31057-7_22,Conference paper
Models for Co-design of Heterogeneous Dynamically Reconfigurable SoCs,Design Technology for Heterogeneous Embedded Systems,,,,10.1007/978-94-007-1125-9_6,Jean-Luc DekeyserAbdoulaye GamatiéSamy MeftaliImran Rafiq Quadri,2012,https://link.springer.com/chapter/10.1007/978-94-007-1125-9_6,Chapter
Related Work,Low Power Design with High-Level Power Estimation and Power-Aware Synthesis,,,,10.1007/978-1-4614-0872-7_2,Sumit AhujaAvinash LakshminarayanaSandeep Kumar Shukla,2012,https://link.springer.com/chapter/10.1007/978-1-4614-0872-7_2,Chapter
Heterogeneous Reactive Architectures of Embedded Systems,Embedded Systems Design Based on Formal Models of Computation,,,,10.1007/978-94-007-1594-3_7,Ivan RadojevicZoran Salcic,2011,https://link.springer.com/chapter/10.1007/978-94-007-1594-3_7,Chapter
Multi-task Implementation of Multi-periodic Synchronous Programs,Discrete Event Dynamic Systems,,,,10.1007/s10626-011-0107-x,Claire PagettiJulien ForgetFrédéric BoniolMikel CordovillaDavid Lesens,2011,https://link.springer.com/article/10.1007/s10626-011-0107-x,Article
Formal Specification and Verification of Task Time Constraints for Real-Time Systems,"Leveraging Applications of Formal Methods, Verification and Validation. Applications and Case Studies",,,,10.1007/978-3-642-34032-1_16,Ning GeMarc PantelXavier Crégut,2012,https://link.springer.com/chapter/10.1007/978-3-642-34032-1_16,Conference paper
Logical Time @ Work: Capturing Data Dependencies and Platform Constraints,System Specification and Design Languages,,,,10.1007/978-1-4614-1427-8_14,Calin GlitiaJulien DeAntoniFrédéric Mallet,2012,https://link.springer.com/chapter/10.1007/978-1-4614-1427-8_14,Conference paper
Formal modeling and validation of Stateflow diagrams,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-012-0235-0,Chunqing ChenJun SunYang LiuJin Song DongManchun Zheng,2012,https://link.springer.com/article/10.1007/s10009-012-0235-0,Article
Join Token-Based Event Handling: A Comprehensive Framework for Game Programming,Software Language Engineering,,,,10.1007/978-3-642-28830-2_7,Taketoshi NishimoriYasushi Kuno,2012,https://link.springer.com/chapter/10.1007/978-3-642-28830-2_7,Conference paper
Formal Verification of Compiler Transformations on Polychronous Equations,Integrated Formal Methods,,,,10.1007/978-3-642-30729-4_9,Van Chan NgoJean-Pierre TalpinThierry GautierPaul Le GuernicLoïc Besnard,2012,https://link.springer.com/chapter/10.1007/978-3-642-30729-4_9,Conference paper
The Coroutine Model of Computation,Model Driven Engineering Languages and Systems,,,,10.1007/978-3-642-33666-9_21,Chris ShaverEdward A. Lee,2012,https://link.springer.com/chapter/10.1007/978-3-642-33666-9_21,Conference paper
Keeping calm in the face of change,Higher-Order and Symbolic Computation,,,,10.1007/s10990-011-9068-x,Neil SculthorpeHenrik Nilsson,2010,https://link.springer.com/article/10.1007/s10990-011-9068-x,Article
Scheduling and Buffer Sizing of n-Synchronous Systems,Mathematics of Program Construction,,,,10.1007/978-3-642-31113-0_6,Louis MandelFlorence Plateau,2012,https://link.springer.com/chapter/10.1007/978-3-642-31113-0_6,Conference paper
Program Sketching via CTL* Model Checking,Model Checking Software,,,,10.1007/978-3-642-22306-8_9,Andreas MorgensternKlaus Schneider,2011,https://link.springer.com/chapter/10.1007/978-3-642-22306-8_9,Conference paper
Computer Programming in the Creative Arts,Computers and Creativity,,,,10.1007/978-3-642-31727-9_9,Alex McLeanGeraint Wiggins,2012,https://link.springer.com/chapter/10.1007/978-3-642-31727-9_9,Chapter
Specifications and Modeling,Embedded System Design,,,,10.1007/978-94-007-0257-8_2,Peter Marwedel,2011,https://link.springer.com/chapter/10.1007/978-94-007-0257-8_2,Chapter
Snapshot Reachability Graphs for Alvis Models,Knowledge-Based and Intelligent Information and Engineering Systems,,,,10.1007/978-3-642-23851-2_20,Marcin SzpyrkaLeszek Kotulski,2011,https://link.springer.com/chapter/10.1007/978-3-642-23851-2_20,Conference paper
Specification of Data Intensive Applications with Data Dependency and Abstract Clocks,Handbook of Data Intensive Computing,,,,10.1007/978-1-4614-1415-5_12,Abdoulaye Gamatié,2011,https://link.springer.com/chapter/10.1007/978-1-4614-1415-5_12,Chapter
Distributed Control of Discrete-Event Systems: A First Step,Transactions on Petri Nets and Other Models of Concurrency VI,,,,10.1007/978-3-642-35179-2_2,Philippe DarondeauLaurie Ricker,2012,https://link.springer.com/chapter/10.1007/978-3-642-35179-2_2,Chapter
StreamPI: a stream-parallel programming extension for object-oriented programming languages,The Journal of Supercomputing,,,,10.1007/s11227-011-0656-7,Jingun HongKirak HongBernd BurgstallerJohann Blieberger,2011,https://link.springer.com/article/10.1007/s11227-011-0656-7,Article
"Formal semantics of modular time refinement in <span>AutoFocus</span>
            ",Computer Science - Research and Development,,,,10.1007/s00450-011-0148-2,David Trachtenherz,2011,https://link.springer.com/article/10.1007/s00450-011-0148-2,Article
DFCharts in SystemC and Esterel,Embedded Systems Design Based on Formal Models of Computation,,,,10.1007/978-94-007-1594-3_5,Ivan RadojevicZoran Salcic,2011,https://link.springer.com/chapter/10.1007/978-94-007-1594-3_5,Chapter
Testing interruptions in reactive systems,Formal Aspects of Computing,,,,10.1007/s00165-011-0197-0,Wilkerson L. AndradePatrícia D. L. Machado,2011,https://link.springer.com/article/10.1007/s00165-011-0197-0,Article
Synchronous Programming: Overview,Designing Embedded Systems with the SIGNAL Programming Language,,,,10.1007/978-1-4419-0941-1_2,Abdoulaye Gamatié,2010,https://link.springer.com/chapter/10.1007/978-1-4419-0941-1_2,Chapter
Models of Computation and Languages,Embedded Systems Design Based on Formal Models of Computation,,,,10.1007/978-94-007-1594-3_2,Ivan RadojevicZoran Salcic,2011,https://link.springer.com/chapter/10.1007/978-94-007-1594-3_2,Chapter
Research Roadmap,The Emerging Domain of Cooperating Objects,,,,10.1007/978-3-642-16946-5_6,Pedro José MarrònStamatis KarnouskosDaniel MinderAníbal Ollero,2011,https://link.springer.com/chapter/10.1007/978-3-642-16946-5_6,Chapter
Efficient verification of distributed real-time systems with broadcasting behaviors,Real-Time Systems,,,,10.1007/s11241-011-9122-0,Farn WangLi-Wei YaoYa-Lan Yang,2011,https://link.springer.com/article/10.1007/s11241-011-9122-0,Article
Models of Computation for Heterogeneous Embedded Systems,Electronic Engineering and Computing Technology,,,,10.1007/978-90-481-8776-8_18,Adnan ShaoutAli H. El-MousaKhalid Mattar,2010,https://link.springer.com/chapter/10.1007/978-90-481-8776-8_18,Chapter
Technische Grundlagen,Baumaschinen,,,,10.1007/978-3-8348-8203-5_3,Günter KunzeHelmut GöhringKlaus Jacob,2012,https://link.springer.com/chapter/10.1007/978-3-8348-8203-5_3,Chapter
Loosely-Coupled Distributed Reactive Programming in Mobile Ad Hoc Networks,"Objects, Models, Components, Patterns",,,,10.1007/978-3-642-13953-6_3,Andoni Lombide CarretonStijn MostinckxTom Van CutsemWolfgang De Meuter,2010,https://link.springer.com/chapter/10.1007/978-3-642-13953-6_3,Conference paper
Migration of Legacy Software Towards Correct-by-Construction Timing Behavior,"Foundations of Computer Software. Modeling, Development, and Verification of Adaptive Systems",,,,10.1007/978-3-642-21292-5_4,Stefan ResmeritaKenneth ButtsPatricia DerlerAndreas NaderlingerWolfgang Pree,2011,https://link.springer.com/chapter/10.1007/978-3-642-21292-5_4,Conference paper
Synthesis of Embedded Software,,,,,10.1007/978-1-4419-6400-7,,2010,https://link.springer.com/book/10.1007/978-1-4419-6400-7,Book
Implementation of DFCharts on HiDRA,Embedded Systems Design Based on Formal Models of Computation,,,,10.1007/978-94-007-1594-3_8,Ivan RadojevicZoran Salcic,2011,https://link.springer.com/chapter/10.1007/978-94-007-1594-3_8,Chapter
6 Modeling Languages for Real-Time and Embedded Systems,Model-Based Engineering of Embedded Real-Time Systems,,,,10.1007/978-3-642-16277-0_6,Sébastien GérardHuascar EspinozaFrançois TerrierBran Selic,2010,https://link.springer.com/chapter/10.1007/978-3-642-16277-0_6,Chapter
Modular static scheduling of synchronous data-flow networks,Design Automation for Embedded Systems,,,,10.1007/s10617-010-9053-3,Marc PouzetPascal Raymond,2010,https://link.springer.com/article/10.1007/s10617-010-9053-3,Article
A Flexible Hierarchical Approach for Controlling the System-Level Design Complexity of Embedded Systems,Design Methodologies for Secure Embedded Systems,,,,10.1007/978-3-642-16767-6_2,Stephan Klaus,2010,https://link.springer.com/chapter/10.1007/978-3-642-16767-6_2,Conference paper
Implementation Architecture and Multithreaded Runtime System of S-Net,Implementation and Application of Functional Languages,,,,10.1007/978-3-642-24452-0_4,Clemens GrelckFrank Penczek,2011,https://link.springer.com/chapter/10.1007/978-3-642-24452-0_4,Conference paper
Structural Test Coverage Criteria for Integration Testing of LUSTRE/SCADE Programs,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-642-24431-5_8,Virginia PapailiopoulouAjitha RajanIoannis Parissis,2011,https://link.springer.com/chapter/10.1007/978-3-642-24431-5_8,Conference paper
Formal Modeling of Embedded Systems with Explicit Schedules and Routes,Synthesis of Embedded Software,,,,10.1007/978-1-4419-6400-7_2,Julien BoucaronAnthony CoadouRobert de Simone,2010,https://link.springer.com/chapter/10.1007/978-1-4419-6400-7_2,Chapter
Reactive Model-Based Control of Reconfiguration in the Fractal Component-Based Model,Component-Based Software Engineering,,,,10.1007/978-3-642-13238-4_6,Gwenaël DelavalEric Rutten,2010,https://link.springer.com/chapter/10.1007/978-3-642-13238-4_6,Conference paper
Dependency-Driven Distribution of Synchronous Programs,"Distributed, Parallel and Biologically Inspired Systems",,,,10.1007/978-3-642-15234-4_17,Daniel BaudischJens BrandtKlaus Schneider,2010,https://link.springer.com/chapter/10.1007/978-3-642-15234-4_17,Conference paper
Code generation for a family of executable modelling notations,Software & Systems Modeling,,,,10.1007/s10270-010-0176-6,Adam ProutJoanne M. AtleeNancy A. DayPourya Shaker,2010,https://link.springer.com/article/10.1007/s10270-010-0176-6,Article
What Is in a Step: New Perspectives on a Classical Question,Time for Verification,,,,10.1007/978-3-642-13754-9_15,Willem-Paul de RoeverGerald LüttgenMichael Mendler,2010,https://link.springer.com/chapter/10.1007/978-3-642-13754-9_15,Chapter
Composable continuous-space programs for robotic swarms,Neural Computing and Applications,,,,10.1007/s00521-010-0382-8,Jonathan BachrachJacob BealJames McLurkin,2010,https://link.springer.com/article/10.1007/s00521-010-0382-8,Article
MRICDF: A Polychronous Model for Embedded Software Synthesis,Synthesis of Embedded Software,,,,10.1007/978-1-4419-6400-7_6,Bijoy A. JoseSandeep K. Shukla,2010,https://link.springer.com/chapter/10.1007/978-1-4419-6400-7_6,Chapter
From Synchronous Specifications to Statically Scheduled Hard Real-Time Implementations,Synthesis of Embedded Software,,,,10.1007/978-1-4419-6400-7_8,Dumitru Potop-ButucaruRobert de SimoneYves Sorel,2010,https://link.springer.com/chapter/10.1007/978-1-4419-6400-7_8,Chapter
Generalities on Real-Time Programming,Designing Embedded Systems with the SIGNAL Programming Language,,,,10.1007/978-1-4419-0941-1_1,Abdoulaye Gamatié,2010,https://link.springer.com/chapter/10.1007/978-1-4419-0941-1_1,Chapter
Real-Time Model,Real-Time Systems,,,,10.1007/978-1-4419-8237-7_4,Hermann Kopetz,2011,https://link.springer.com/chapter/10.1007/978-1-4419-8237-7_4,Chapter
A Common Framework for Synchronization in Requirements Modelling Languages,Model Driven Engineering Languages and Systems,,,,10.1007/978-3-642-16129-2_15,Shahram EsmaeilsabzaliNancy A. DayJoanne M. Atlee,2010,https://link.springer.com/chapter/10.1007/978-3-642-16129-2_15,Conference paper
Rialto 2.0: A Language for Heterogeneous Computations,"Distributed, Parallel and Biologically Inspired Systems",,,,10.1007/978-3-642-15234-4_3,Johan LiliusAndreas DahlinLionel Morel,2010,https://link.springer.com/chapter/10.1007/978-3-642-15234-4_3,Conference paper
Model-based construction and verification of critical systems using composition and partial refinement,Formal Methods in System Design,,,,10.1007/s10703-010-0106-9,Ralph D. JeffordsConstance L. HeitmeyerMyla M. ArcherElizabeth I. Leonard,2010,https://link.springer.com/article/10.1007/s10703-010-0106-9,Article
Specification of Embedded Control Systems Behaviour Using Actor Interface Automata,Software Technologies for Embedded and Ubiquitous Systems,,,,10.1007/978-3-642-16256-5_17,Christo AngelovFeng ZhouKrzysztof Sierszecki,2010,https://link.springer.com/chapter/10.1007/978-3-642-16256-5_17,Conference paper
Compilation of Polychronous Data Flow Equations,Synthesis of Embedded Software,,,,10.1007/978-1-4419-6400-7_1,Loïc BesnardThierry GautierPaul Le GuernicJean-Pierre Talpin,2010,https://link.springer.com/chapter/10.1007/978-1-4419-6400-7_1,Chapter
Arrival Curves for Real-Time Calculus: The Causality Problem and Its Solutions,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-642-12002-2_31,Matthieu MoyKarine Altisen,2010,https://link.springer.com/chapter/10.1007/978-3-642-12002-2_31,Conference paper
The Time Model of Logical Clocks Available in the OMG MARTE Profile,Synthesis of Embedded Software,,,,10.1007/978-1-4419-6400-7_7,Charles AndréJulien DeAntoniFrédéric MalletRobert de Simone,2010,https://link.springer.com/chapter/10.1007/978-1-4419-6400-7_7,Chapter
A Hybrid Visual Dataflow Language for Coordination in Mobile Ad Hoc Networks,Coordination Models and Languages,,,,10.1007/978-3-642-13414-2_6,Andoni Lombide CarretonTheo D’Hondt,2010,https://link.springer.com/chapter/10.1007/978-3-642-13414-2_6,Conference paper
GALS System Design,Designing Embedded Systems with the SIGNAL Programming Language,,,,10.1007/978-1-4419-0941-1_11,Abdoulaye Gamatié,2010,https://link.springer.com/chapter/10.1007/978-1-4419-0941-1_11,Chapter
Bisimulation conversion and verification procedure for&#xa0;goal-based control systems,Formal Methods in System Design,,,,10.1007/s10703-010-0109-6,Julia M. B. BramanRichard M. Murray,2010,https://link.springer.com/article/10.1007/s10703-010-0109-6,Article
1 Models of Reactive Systems,Model-Based Engineering of Embedded Real-Time Systems,,,,10.1007/978-3-642-16277-0_1,Bernhard SchätzHolger Giese,2010,https://link.springer.com/chapter/10.1007/978-3-642-16277-0_1,Chapter
Methods and Tools for Mapping Process Networks onto Multi-Processor Systems-On-Chip,Handbook of Signal Processing Systems,,,,10.1007/978-1-4419-6345-1_35,Iuliana BacivarovWolfgang HaidKai HuangLothar Thiele,2010,https://link.springer.com/chapter/10.1007/978-1-4419-6345-1_35,Chapter
Development of a Synchronous Subset of AADL,"Abstract State Machines, Alloy, B and Z",,,,10.1007/978-3-642-11811-1_19,Mamoun Filali-AmineJulia Lawall,2010,https://link.springer.com/chapter/10.1007/978-3-642-11811-1_19,Conference paper
Design Choices for High-Confidence Distributed Real-Time Software,"Leveraging Applications of Formal Methods, Verification, and Validation",,,,10.1007/978-3-642-16561-0_32,Sebastian FischmeisterAkramul Azim,2010,https://link.springer.com/chapter/10.1007/978-3-642-16561-0_32,Conference paper
On the Role of Non-functional Properties in Compiler Verification,"Leveraging Applications of Formal Methods, Verification, and Validation",,,,10.1007/978-3-642-16561-0_46,Jens KnoopWolf Zimmermann,2010,https://link.springer.com/chapter/10.1007/978-3-642-16561-0_46,Conference paper
Disciplined Heterogeneous Modeling,Model Driven Engineering Languages and Systems,,,,10.1007/978-3-642-16129-2_20,Edward A. Lee,2010,https://link.springer.com/chapter/10.1007/978-3-642-16129-2_20,Conference paper
7 Requirements Modeling for Embedded Realtime Systems,Model-Based Engineering of Embedded Real-Time Systems,,,,10.1007/978-3-642-16277-0_7,Ingolf KrügerClaudiu FarcasEmilia FarcasMassimiliano Menarini,2010,https://link.springer.com/chapter/10.1007/978-3-642-16277-0_7,Chapter
Microprogrammed Architectures,A Practical Introduction to Hardware/Software Codesign,,,,10.1007/978-1-4419-6000-9_5,Patrick R. Schaumont,2010,https://link.springer.com/chapter/10.1007/978-1-4419-6000-9_5,Chapter
IP-XACT Components with Abstract Time Characterization,Advances in Design Methods from Modeling Languages for Embedded Systems and SoC’s,,,,10.1007/978-90-481-9304-2_1,Frédéric MalletCharles AndréRobert de Simone,2010,https://link.springer.com/chapter/10.1007/978-90-481-9304-2_1,Chapter
Design in Polychrony: First Steps,Designing Embedded Systems with the SIGNAL Programming Language,,,,10.1007/978-1-4419-0941-1_6,Abdoulaye Gamatié,2010,https://link.springer.com/chapter/10.1007/978-1-4419-0941-1_6,Chapter
Programming Units: Processes,Designing Embedded Systems with the SIGNAL Programming Language,,,,10.1007/978-1-4419-0941-1_4,Abdoulaye Gamatié,2010,https://link.springer.com/chapter/10.1007/978-1-4419-0941-1_4,Chapter
Verification of GALS Systems by Combining Synchronous Languages and Process Calculi,Model Checking Software,,,,10.1007/978-3-642-02652-2_20,Hubert GaravelDamien Thivolle,2009,https://link.springer.com/chapter/10.1007/978-3-642-02652-2_20,Conference paper
Formal Model for Program Analysis,Designing Embedded Systems with the SIGNAL Programming Language,,,,10.1007/978-1-4419-0941-1_8,Abdoulaye Gamatié,2010,https://link.springer.com/chapter/10.1007/978-1-4419-0941-1_8,Chapter
Formal Semantics,Designing Embedded Systems with the SIGNAL Programming Language,,,,10.1007/978-1-4419-0941-1_7,Abdoulaye Gamatié,2010,https://link.springer.com/chapter/10.1007/978-1-4419-0941-1_7,Chapter
Recent advances in program verification through computer algebra,Frontiers of Computer Science in China,,,,10.1007/s11704-009-0074-7,Lu YangChaochen ZhouNaijun ZhanBican Xia,2010,https://link.springer.com/article/10.1007/s11704-009-0074-7,Article
Formalization and Correctness of the PALS Architectural Pattern for Distributed Real-Time Systems,Formal Methods and Software Engineering,,,,10.1007/978-3-642-16901-4_21,José MeseguerPeter Csaba Ölveczky,2010,https://link.springer.com/chapter/10.1007/978-3-642-16901-4_21,Conference paper
Automating the addition of fault tolerance with discrete controller synthesis,Formal Methods in System Design,,,,10.1007/s10703-009-0084-y,Alain GiraultÉric Rutten,2009,https://link.springer.com/article/10.1007/s10703-009-0084-y,Article
AdaStreams: A Type-Based Programming Extension for Stream-Parallelism with Ada&#xa0;2005,Reliable Software Technologiey – Ada-Europe 2010,,,,10.1007/978-3-642-13550-7_15,Gingun HongKirak HongBernd BurgstallerJohann Blieberger,2010,https://link.springer.com/chapter/10.1007/978-3-642-13550-7_15,Conference paper
Exploiting Statically Schedulable Regions in Dataflow Programs,Journal of Signal Processing Systems,,,,10.1007/s11265-009-0445-1,Ruirui GuJörn W. JanneckMickaël RauletShuvra S. Bhattacharyya,2010,https://link.springer.com/article/10.1007/s11265-009-0445-1,Article
Translation Validation of Loop Optimizations and Software Pipelining in the TVOC Framework,Static Analysis,,,,10.1007/978-3-642-15769-1_3,Benjamin Goldberg,2010,https://link.springer.com/chapter/10.1007/978-3-642-15769-1_3,Conference paper
Basics: Signals and Relations,Designing Embedded Systems with the SIGNAL Programming Language,,,,10.1007/978-1-4419-0941-1_3,Abdoulaye Gamatié,2010,https://link.springer.com/chapter/10.1007/978-1-4419-0941-1_3,Chapter
Kahn Process Networks and a Reactive Extension,Handbook of Signal Processing Systems,,,,10.1007/978-1-4419-6345-1_34,Marc GeilenTwan Basten,2010,https://link.springer.com/chapter/10.1007/978-1-4419-6345-1_34,Chapter
Compilation of Programs,Designing Embedded Systems with the SIGNAL Programming Language,,,,10.1007/978-1-4419-0941-1_9,Abdoulaye Gamatié,2010,https://link.springer.com/chapter/10.1007/978-1-4419-0941-1_9,Chapter
Safe design of high-performance embedded systems in an MDE framework,Innovations in Systems and Software Engineering,,,,10.1007/s11334-008-0059-y,Huafeng YuAbdoulaye GamatiéÉric RuttenJean-Luc Dekeyser,2008,https://link.springer.com/article/10.1007/s11334-008-0059-y,Article
A timeband framework for modelling real-time systems,Real-Time Systems,,,,10.1007/s11241-010-9094-5,Alan BurnsIan J. Hayes,2010,https://link.springer.com/article/10.1007/s11241-010-9094-5,Article
A formal model of composing components: the TLA<sup>+</sup> approach,Innovations in Systems and Software Engineering,,,,10.1007/s11334-009-0087-2,Ondrej RysavyJaroslav Rab,2009,https://link.springer.com/article/10.1007/s11334-009-0087-2,Article
